Feature,x_norm,Aggregated_Mask,x_norm_x_Aggregated_Mask
credit_score,-2.2520368,6.362196922302246,-14.327901660992438
prev_defaults,1.0,5.844602584838867,5.844602584838867
credit_limit_used(%),97.0,1.8077785968780518,175.35452389717102
gender,1.0,0.9070208072662354,0.9070208072662354
age,-0.41929305,0.8056803345680237,-0.3378161615814079
owns_car_missing,-0.109174095,0.5336431860923767,-0.05826001194482311
credit_limit,0.03642351,0.3459680378437042,0.012601370909912868
no_of_children_missing,-0.13051206,0.17316395044326782,-0.02259998367101801
migrant_worker_missing,0.0,0.11318613588809967,0.0
occupation_type,17.0,0.0,0.0
total_family_members,0.9359393,0.0,0.0
migrant_worker,0.0,0.0,0.0
yearly_debt_payments,-1.323702,0.0,-0.0
no_of_days_employed,-0.48311415,0.0,-0.0
net_yearly_income,-0.07780579,0.0,-0.0
no_of_children,0.8230859,0.0,0.0
owns_house,1.0,0.0,0.0
default_in_last_6months,1.0,0.0,0.0
owns_car,0.0,0.0,0.0
no_of_days_employed_missing,-0.100612424,0.0,-0.0
total_family_members_missing,0.0,0.0,0.0
yearly_debt_payments_missing,0.0,0.0,0.0
credit_score_missing,0.0,0.0,0.0
