Step,Feature,x_norm,Mask,x_norm_x_Mask
1,credit_limit_used(%),97.0,1.0,97.0
1,age,-0.41929305,0.0,-0.0
1,yearly_debt_payments_missing,0.0,0.0,0.0
1,migrant_worker_missing,0.0,0.0,0.0
1,total_family_members_missing,0.0,0.0,0.0
1,no_of_days_employed_missing,-0.100612424,0.0,-0.0
1,no_of_children_missing,-0.13051206,0.0,-0.0
1,owns_car_missing,-0.109174095,0.0,-0.0
1,default_in_last_6months,1.0,0.0,0.0
1,prev_defaults,1.0,0.0,0.0
1,credit_score,-2.2520368,0.0,-0.0
1,credit_limit,0.03642351,0.0,0.0
1,gender,1.0,0.0,0.0
1,yearly_debt_payments,-1.323702,0.0,-0.0
1,migrant_worker,0.0,0.0,0.0
1,total_family_members,0.9359393,0.0,0.0
1,occupation_type,17.0,0.0,0.0
1,no_of_days_employed,-0.48311415,0.0,-0.0
1,net_yearly_income,-0.07780579,0.0,-0.0
1,no_of_children,0.8230859,0.0,0.0
1,owns_house,1.0,0.0,0.0
1,owns_car,0.0,0.0,0.0
1,credit_score_missing,0.0,0.0,0.0
2,credit_score,-2.2520368,0.9264497756958008,-2.0863989974102424
2,prev_defaults,1.0,0.07355022430419922,0.07355022430419922
2,age,-0.41929305,0.0,-0.0
2,credit_limit_used(%),97.0,0.0,0.0
2,yearly_debt_payments_missing,0.0,0.0,0.0
2,migrant_worker_missing,0.0,0.0,0.0
2,total_family_members_missing,0.0,0.0,0.0
2,no_of_days_employed_missing,-0.100612424,0.0,-0.0
2,no_of_children_missing,-0.13051206,0.0,-0.0
2,owns_car_missing,-0.109174095,0.0,-0.0
2,default_in_last_6months,1.0,0.0,0.0
2,credit_limit,0.03642351,0.0,0.0
2,gender,1.0,0.0,0.0
2,yearly_debt_payments,-1.323702,0.0,-0.0
2,migrant_worker,0.0,0.0,0.0
2,total_family_members,0.9359393,0.0,0.0
2,occupation_type,17.0,0.0,0.0
2,no_of_days_employed,-0.48311415,0.0,-0.0
2,net_yearly_income,-0.07780579,0.0,-0.0
2,no_of_children,0.8230859,0.0,0.0
2,owns_house,1.0,0.0,0.0
2,owns_car,0.0,0.0,0.0
2,credit_score_missing,0.0,0.0,0.0
3,owns_car_missing,-0.109174095,1.0,-0.10917409509420395
3,age,-0.41929305,0.0,-0.0
3,credit_limit_used(%),97.0,0.0,0.0
3,yearly_debt_payments_missing,0.0,0.0,0.0
3,migrant_worker_missing,0.0,0.0,0.0
3,total_family_members_missing,0.0,0.0,0.0
3,no_of_days_employed_missing,-0.100612424,0.0,-0.0
3,no_of_children_missing,-0.13051206,0.0,-0.0
3,default_in_last_6months,1.0,0.0,0.0
3,prev_defaults,1.0,0.0,0.0
3,credit_score,-2.2520368,0.0,-0.0
3,credit_limit,0.03642351,0.0,0.0
3,gender,1.0,0.0,0.0
3,yearly_debt_payments,-1.323702,0.0,-0.0
3,migrant_worker,0.0,0.0,0.0
3,total_family_members,0.9359393,0.0,0.0
3,occupation_type,17.0,0.0,0.0
3,no_of_days_employed,-0.48311415,0.0,-0.0
3,net_yearly_income,-0.07780579,0.0,-0.0
3,no_of_children,0.8230859,0.0,0.0
3,owns_house,1.0,0.0,0.0
3,owns_car,0.0,0.0,0.0
3,credit_score_missing,0.0,0.0,0.0
4,prev_defaults,1.0,1.0,1.0
4,age,-0.41929305,0.0,-0.0
4,credit_limit_used(%),97.0,0.0,0.0
4,yearly_debt_payments_missing,0.0,0.0,0.0
4,migrant_worker_missing,0.0,0.0,0.0
4,total_family_members_missing,0.0,0.0,0.0
4,no_of_days_employed_missing,-0.100612424,0.0,-0.0
4,no_of_children_missing,-0.13051206,0.0,-0.0
4,owns_car_missing,-0.109174095,0.0,-0.0
4,default_in_last_6months,1.0,0.0,0.0
4,credit_score,-2.2520368,0.0,-0.0
4,credit_limit,0.03642351,0.0,0.0
4,gender,1.0,0.0,0.0
4,yearly_debt_payments,-1.323702,0.0,-0.0
4,migrant_worker,0.0,0.0,0.0
4,total_family_members,0.9359393,0.0,0.0
4,occupation_type,17.0,0.0,0.0
4,no_of_days_employed,-0.48311415,0.0,-0.0
4,net_yearly_income,-0.07780579,0.0,-0.0
4,no_of_children,0.8230859,0.0,0.0
4,owns_house,1.0,0.0,0.0
4,owns_car,0.0,0.0,0.0
4,credit_score_missing,0.0,0.0,0.0
5,credit_limit,0.03642351,1.0,0.03642351180315018
5,credit_limit_used(%),97.0,0.0,0.0
5,yearly_debt_payments_missing,0.0,0.0,0.0
5,migrant_worker_missing,0.0,0.0,0.0
5,total_family_members_missing,0.0,0.0,0.0
5,no_of_days_employed_missing,-0.100612424,0.0,-0.0
5,no_of_children_missing,-0.13051206,0.0,-0.0
5,owns_car_missing,-0.109174095,0.0,-0.0
5,default_in_last_6months,1.0,0.0,0.0
5,prev_defaults,1.0,0.0,0.0
5,credit_score,-2.2520368,0.0,-0.0
5,age,-0.41929305,0.0,-0.0
5,gender,1.0,0.0,0.0
5,yearly_debt_payments,-1.323702,0.0,-0.0
5,migrant_worker,0.0,0.0,0.0
5,total_family_members,0.9359393,0.0,0.0
5,occupation_type,17.0,0.0,0.0
5,no_of_days_employed,-0.48311415,0.0,-0.0
5,net_yearly_income,-0.07780579,0.0,-0.0
5,no_of_children,0.8230859,0.0,0.0
5,owns_house,1.0,0.0,0.0
5,owns_car,0.0,0.0,0.0
5,credit_score_missing,0.0,0.0,0.0
6,age,-0.41929305,1.0,-0.41929304599761963
6,credit_limit_used(%),97.0,0.0,0.0
6,yearly_debt_payments_missing,0.0,0.0,0.0
6,migrant_worker_missing,0.0,0.0,0.0
6,total_family_members_missing,0.0,0.0,0.0
6,no_of_days_employed_missing,-0.100612424,0.0,-0.0
6,no_of_children_missing,-0.13051206,0.0,-0.0
6,owns_car_missing,-0.109174095,0.0,-0.0
6,default_in_last_6months,1.0,0.0,0.0
