Step,Feature,x_norm,P_prev,u_pre_sparsemax,M_after_sparsemax,x_norm_x_M
1,credit_limit_used(%),97.0,1.0,0.0,1.0,97.0
1,age,-0.41929305,1.0,-2.9000137,0.0,-0.0
1,yearly_debt_payments_missing,0.0,1.0,-1.6964064,0.0,0.0
1,migrant_worker_missing,0.0,1.0,-2.9657578,0.0,0.0
1,total_family_members_missing,0.0,1.0,-2.0616097,0.0,0.0
1,no_of_days_employed_missing,-0.100612424,1.0,-1.3424846,0.0,-0.0
1,no_of_children_missing,-0.13051206,1.0,-1.9155352,0.0,-0.0
1,owns_car_missing,-0.109174095,1.0,-1.3125625,0.0,-0.0
1,default_in_last_6months,1.0,1.0,-3.2032232,0.0,0.0
1,prev_defaults,1.0,1.0,-3.071156,0.0,0.0
1,credit_score,-2.2520368,1.0,-2.9163404,0.0,-0.0
1,credit_limit,0.03642351,1.0,-2.9770489,0.0,0.0
1,gender,1.0,1.0,-1.7216012,0.0,0.0
1,yearly_debt_payments,-1.323702,1.0,-2.8029523,0.0,-0.0
1,migrant_worker,0.0,1.0,-2.2042577,0.0,0.0
1,total_family_members,0.9359393,1.0,-1.041462,0.0,0.0
1,occupation_type,17.0,1.0,-1.9465799,0.0,0.0
1,no_of_days_employed,-0.48311415,1.0,-1.5869714,0.0,-0.0
1,net_yearly_income,-0.07780579,1.0,-1.7119653,0.0,-0.0
1,no_of_children,0.8230859,1.0,-1.9472029,0.0,0.0
1,owns_house,1.0,1.0,-2.7933414,0.0,0.0
1,owns_car,0.0,1.0,-1.0679379,0.0,0.0
1,credit_score_missing,0.0,1.0,-1.745534,0.0,0.0
2,credit_score,-2.2520368,1.9791715,0.0,0.9264498,-2.086399
2,prev_defaults,1.0,1.9791715,-0.85289955,0.073550224,0.073550224
2,age,-0.41929305,1.9791715,-2.5363007,0.0,-0.0
2,credit_limit_used(%),97.0,0.9791715,-5.4874864,0.0,0.0
2,yearly_debt_payments_missing,0.0,1.9791715,-3.1148582,0.0,0.0
2,migrant_worker_missing,0.0,1.9791715,-2.5997071,0.0,0.0
2,total_family_members_missing,0.0,1.9791715,-5.95691,0.0,0.0
2,no_of_days_employed_missing,-0.100612424,1.9791715,-5.866387,0.0,-0.0
2,no_of_children_missing,-0.13051206,1.9791715,-6.561435,0.0,-0.0
2,owns_car_missing,-0.109174095,1.9791715,-5.7484236,0.0,-0.0
2,default_in_last_6months,1.0,1.9791715,-2.4647794,0.0,0.0
2,credit_limit,0.03642351,1.9791715,-1.94805,0.0,0.0
2,gender,1.0,1.9791715,-3.5887518,0.0,0.0
2,yearly_debt_payments,-1.323702,1.9791715,-6.3143053,0.0,-0.0
2,migrant_worker,0.0,1.9791715,-2.760026,0.0,0.0
2,total_family_members,0.9359393,1.9791715,-2.9422677,0.0,0.0
2,occupation_type,17.0,1.9791715,-2.7544193,0.0,0.0
2,no_of_days_employed,-0.48311415,1.9791715,-1.4098885,0.0,-0.0
2,net_yearly_income,-0.07780579,1.9791715,-2.0346038,0.0,-0.0
2,no_of_children,0.8230859,1.9791715,-2.1247518,0.0,0.0
2,owns_house,1.0,1.9791715,-5.4366326,0.0,0.0
2,owns_car,0.0,1.9791715,-5.843319,0.0,0.0
2,credit_score_missing,0.0,1.9791715,-6.523743,0.0,0.0
3,owns_car_missing,-0.109174095,3.91712,0.0,1.0,-0.109174095
3,age,-0.41929305,3.91712,-16.673813,0.0,-0.0
3,credit_limit_used(%),97.0,1.9379483,-14.108597,0.0,0.0
3,yearly_debt_payments_missing,0.0,3.91712,-16.58696,0.0,0.0
3,migrant_worker_missing,0.0,3.91712,-4.5791416,0.0,0.0
3,total_family_members_missing,0.0,3.91712,-16.460077,0.0,0.0
3,no_of_days_employed_missing,-0.100612424,3.91712,-19.179724,0.0,-0.0
3,no_of_children_missing,-0.13051206,3.91712,-15.140995,0.0,-0.0
3,default_in_last_6months,1.0,3.91712,-16.034222,0.0,0.0
3,prev_defaults,1.0,3.7715514,-3.1937947,0.0,0.0
3,credit_score,-2.2520368,2.0835168,-14.462757,0.0,-0.0
3,credit_limit,0.03642351,3.91712,-7.945109,0.0,0.0
3,gender,1.0,3.91712,-5.6299677,0.0,0.0
3,yearly_debt_payments,-1.323702,3.91712,-1.0607014,0.0,-0.0
3,migrant_worker,0.0,3.91712,-4.5501366,0.0,0.0
3,total_family_members,0.9359393,3.91712,-2.005206,0.0,0.0
3,occupation_type,17.0,3.91712,-15.690088,0.0,0.0
3,no_of_days_employed,-0.48311415,3.91712,-12.653988,0.0,-0.0
3,net_yearly_income,-0.07780579,3.91712,-16.608114,0.0,-0.0
3,no_of_children,0.8230859,3.91712,-7.164285,0.0,0.0
3,owns_house,1.0,3.91712,-4.4899206,0.0,0.0
3,owns_car,0.0,3.91712,-8.307549,0.0,0.0
3,credit_score_missing,0.0,3.91712,-10.485309,0.0,0.0
4,prev_defaults,1.0,7.464547,0.0,1.0,1.0
4,age,-0.41929305,7.752652,-10.659093,0.0,-0.0
4,credit_limit_used(%),97.0,3.8355322,-8.503311,0.0,0.0
4,yearly_debt_payments_missing,0.0,7.752652,-11.682753,0.0,0.0
4,migrant_worker_missing,0.0,7.752652,-7.5888615,0.0,0.0
4,total_family_members_missing,0.0,7.752652,-10.862782,0.0,0.0
4,no_of_days_employed_missing,-0.100612424,7.752652,-7.7650194,0.0,-0.0
4,no_of_children_missing,-0.13051206,7.752652,-11.011534,0.0,-0.0
4,owns_car_missing,-0.109174095,3.8355322,-8.386513,0.0,-0.0
4,default_in_last_6months,1.0,7.752652,-9.321715,0.0,0.0
4,credit_score,-2.2520368,4.123637,-10.526588,0.0,-0.0
4,credit_limit,0.03642351,7.752652,-11.389248,0.0,0.0
4,gender,1.0,7.752652,-10.00817,0.0,0.0
4,yearly_debt_payments,-1.323702,7.752652,-10.50095,0.0,-0.0
4,migrant_worker,0.0,7.752652,-8.528708,0.0,0.0
4,total_family_members,0.9359393,7.752652,-11.654882,0.0,0.0
4,occupation_type,17.0,7.752652,-11.296376,0.0,0.0
4,no_of_days_employed,-0.48311415,7.752652,-9.510206,0.0,-0.0
4,net_yearly_income,-0.07780579,7.752652,-10.933257,0.0,-0.0
4,no_of_children,0.8230859,7.752652,-8.740425,0.0,0.0
4,owns_house,1.0,7.752652,-12.735726,0.0,0.0
4,owns_car,0.0,7.752652,-9.311793,0.0,0.0
4,credit_score_missing,0.0,7.752652,-12.00284,0.0,0.0
5,credit_limit,0.03642351,15.343828,0.0,1.0,0.03642351
5,credit_limit_used(%),97.0,7.591176,-21.703781,0.0,0.0
5,yearly_debt_payments_missing,0.0,15.343828,-8.97936,0.0,0.0
5,migrant_worker_missing,0.0,15.343828,-8.91996,0.0,0.0
5,total_family_members_missing,0.0,15.343828,-4.209511,0.0,0.0
5,no_of_days_employed_missing,-0.100612424,15.343828,-17.156504,0.0,-0.0
5,no_of_children_missing,-0.13051206,15.343828,-23.353004,0.0,-0.0
5,owns_car_missing,-0.109174095,7.591176,-10.843622,0.0,-0.0
5,default_in_last_6months,1.0,15.343828,-20.686087,0.0,0.0
5,prev_defaults,1.0,7.309072,-14.313913,0.0,0.0
5,credit_score,-2.2520368,8.161386,-17.422256,0.0,-0.0
5,age,-0.41929305,15.343828,-10.338481,0.0,-0.0
5,gender,1.0,15.343828,-6.650288,0.0,0.0
5,yearly_debt_payments,-1.323702,15.343828,-18.981026,0.0,-0.0
5,migrant_worker,0.0,15.343828,-18.237183,0.0,0.0
5,total_family_members,0.9359393,15.343828,-27.594713,0.0,0.0
5,occupation_type,17.0,15.343828,-10.998442,0.0,0.0
5,no_of_days_employed,-0.48311415,15.343828,-24.058594,0.0,-0.0
5,net_yearly_income,-0.07780579,15.343828,-19.502213,0.0,-0.0
5,no_of_children,0.8230859,15.343828,-16.815987,0.0,0.0
5,owns_house,1.0,15.343828,-10.114599,0.0,0.0
5,owns_car,0.0,15.343828,-17.392311,0.0,0.0
5,credit_score_missing,0.0,15.343828,-14.404062,0.0,0.0
6,age,-0.41929305,30.368067,0.0,1.0,-0.41929305
6,credit_limit_used(%),97.0,15.02424,-24.231424,0.0,0.0
6,yearly_debt_payments_missing,0.0,30.368067,-22.720926,0.0,0.0
6,migrant_worker_missing,0.0,30.368067,-26.413532,0.0,0.0
6,total_family_members_missing,0.0,30.368067,-35.820015,0.0,0.0
6,no_of_days_employed_missing,-0.100612424,30.368067,-26.49511,0.0,-0.0
6,no_of_children_missing,-0.13051206,30.368067,-13.666934,0.0,-0.0
6,owns_car_missing,-0.109174095,15.02424,-21.037668,0.0,-0.0
6,default_in_last_6months,1.0,30.368067,-19.935167,0.0,0.0
6,prev_defaults,1.0,14.465907,-23.755138,0.0,0.0
6,credit_score,-2.2520368,16.152782,-28.547348,0.0,-0.0
6,credit_limit,0.03642351,15.02424,-21.950144,0.0,0.0
6,gender,1.0,30.368067,-19.872475,0.0,0.0
6,yearly_debt_payments,-1.323702,30.368067,-27.820318,0.0,-0.0
6,migrant_worker,0.0,30.368067,-29.31569,0.0,0.0
6,total_family_members,0.9359393,30.368067,-18.245756,0.0,0.0
6,occupation_type,17.0,30.368067,-24.645508,0.0,0.0
6,no_of_days_employed,-0.48311415,30.368067,-23.830051,0.0,-0.0
6,net_yearly_income,-0.07780579,30.368067,-23.44967,0.0,-0.0
6,no_of_children,0.8230859,30.368067,-3.8334465,0.0,0.0
6,owns_house,1.0,30.368067,-15.122408,0.0,0.0
6,owns_car,0.0,30.368067,-20.885479,0.0,0.0
6,credit_score_missing,0.0,30.368067,-16.688412,0.0,0.0
7,gender,1.0,60.10361,0.0,1.0,1.0
7,age,-0.41929305,29.735546,-72.33226,0.0,-0.0
7,credit_limit_used(%),97.0,29.735546,-44.588585,0.0,0.0
7,yearly_debt_payments_missing,0.0,60.10361,-94.716774,0.0,0.0
7,migrant_worker_missing,0.0,60.10361,-65.904854,0.0,0.0
7,total_family_members_missing,0.0,60.10361,-104.04531,0.0,0.0
7,no_of_days_employed_missing,-0.100612424,60.10361,-72.42107,0.0,-0.0
7,no_of_children_missing,-0.13051206,60.10361,-66.7516,0.0,-0.0
7,owns_car_missing,-0.109174095,29.735546,-70.11546,0.0,-0.0
7,default_in_last_6months,1.0,60.10361,-26.7415,0.0,0.0
7,prev_defaults,1.0,28.63051,-81.23119,0.0,0.0
7,credit_score,-2.2520368,31.969128,-87.011536,0.0,-0.0
7,credit_limit,0.03642351,29.735546,-26.19386,0.0,0.0
7,yearly_debt_payments,-1.323702,60.10361,-73.87386,0.0,-0.0
7,migrant_worker,0.0,60.10361,-93.54306,0.0,0.0
7,total_family_members,0.9359393,60.10361,-78.96874,0.0,0.0
7,occupation_type,17.0,60.10361,-60.82994,0.0,0.0
7,no_of_days_employed,-0.48311415,60.10361,-109.666016,0.0,-0.0
7,net_yearly_income,-0.07780579,60.10361,-65.348915,0.0,-0.0
7,no_of_children,0.8230859,60.10361,-123.49594,0.0,0.0
7,owns_house,1.0,60.10361,-89.505394,0.0,0.0
7,owns_car,0.0,60.10361,-61.48471,0.0,0.0
7,credit_score_missing,0.0,60.10361,-95.684204,0.0,0.0
8,migrant_worker_missing,0.0,118.95535,0.0,1.0,0.0
8,age,-0.41929305,58.851746,-139.67026,0.0,-0.0
8,credit_limit_used(%),97.0,58.851746,-132.70178,0.0,0.0
8,yearly_debt_payments_missing,0.0,118.95535,-96.85154,0.0,0.0
8,total_family_members_missing,0.0,118.95535,-99.424225,0.0,0.0
8,no_of_days_employed_missing,-0.100612424,118.95535,-152.37108,0.0,-0.0
8,no_of_children_missing,-0.13051206,118.95535,-106.89467,0.0,-0.0
8,owns_car_missing,-0.109174095,58.851746,-135.99911,0.0,-0.0
8,default_in_last_6months,1.0,118.95535,-149.09671,0.0,0.0
8,prev_defaults,1.0,56.664692,-65.41031,0.0,0.0
8,credit_score,-2.2520368,63.27239,-179.97151,0.0,-0.0
8,credit_limit,0.03642351,58.851746,-42.828167,0.0,0.0
8,gender,1.0,58.851746,-106.26642,0.0,0.0
8,yearly_debt_payments,-1.323702,118.95535,-168.35112,0.0,-0.0
8,migrant_worker,0.0,118.95535,-190.99356,0.0,0.0
8,total_family_members,0.9359393,118.95535,-148.60439,0.0,0.0
8,occupation_type,17.0,118.95535,-68.973145,0.0,0.0
8,no_of_days_employed,-0.48311415,118.95535,-78.09383,0.0,-0.0
8,net_yearly_income,-0.07780579,118.95535,-106.1185,0.0,-0.0
8,no_of_children,0.8230859,118.95535,-72.75775,0.0,0.0
8,owns_house,1.0,118.95535,-203.00099,0.0,0.0
8,owns_car,0.0,118.95535,-136.2065,0.0,0.0
8,credit_score_missing,0.0,118.95535,-170.0893,0.0,0.0
9,credit_score,-2.2520368,125.226906,0.0,1.0,-2.2520368
9,age,-0.41929305,116.4777,-248.36627,0.0,-0.0
9,credit_limit_used(%),97.0,116.4777,-255.26385,0.0,0.0
9,yearly_debt_payments_missing,0.0,235.43304,-307.6419,0.0,0.0
9,migrant_worker_missing,0.0,116.47769,-255.10863,0.0,0.0
9,total_family_members_missing,0.0,235.43304,-249.87462,0.0,0.0
9,no_of_days_employed_missing,-0.100612424,235.43304,-307.53522,0.0,-0.0
9,no_of_children_missing,-0.13051206,235.43304,-269.5178,0.0,-0.0
9,owns_car_missing,-0.109174095,116.4777,-284.2462,0.0,-0.0
9,default_in_last_6months,1.0,235.43304,-298.5065,0.0,0.0
9,prev_defaults,1.0,112.14915,-212.47458,0.0,0.0
9,credit_limit,0.03642351,116.4777,-264.47092,0.0,0.0
9,gender,1.0,116.4777,-255.2067,0.0,0.0
9,yearly_debt_payments,-1.323702,235.43304,-279.8455,0.0,-0.0
9,migrant_worker,0.0,235.43304,-293.746,0.0,0.0
9,total_family_members,0.9359393,235.43304,-357.6282,0.0,0.0
9,occupation_type,17.0,235.43304,-237.41904,0.0,0.0
9,no_of_days_employed,-0.48311415,235.43304,-181.55663,0.0,-0.0
9,net_yearly_income,-0.07780579,235.43304,-292.09433,0.0,-0.0
9,no_of_children,0.8230859,235.43304,-213.33783,0.0,0.0
9,owns_house,1.0,235.43304,-275.2349,0.0,0.0
9,owns_car,0.0,235.43304,-272.27905,0.0,0.0
