Step,Feature,x_norm,P_prev,u_pre_sparsemax,M_after_sparsemax,x_norm_x_M
6,age,-0.41929305,30.368067,0.0,1.0,-0.41929305
6,credit_limit_used(%),97.0,15.02424,-24.231424,0.0,0.0
6,yearly_debt_payments_missing,0.0,30.368067,-22.720926,0.0,0.0
6,migrant_worker_missing,0.0,30.368067,-26.413532,0.0,0.0
6,total_family_members_missing,0.0,30.368067,-35.820015,0.0,0.0
6,no_of_days_employed_missing,-0.100612424,30.368067,-26.49511,0.0,-0.0
6,no_of_children_missing,-0.13051206,30.368067,-13.666934,0.0,-0.0
6,owns_car_missing,-0.109174095,15.02424,-21.037668,0.0,-0.0
6,default_in_last_6months,1.0,30.368067,-19.935167,0.0,0.0
6,prev_defaults,1.0,14.465907,-23.755138,0.0,0.0
6,credit_score,-2.2520368,16.152782,-28.547348,0.0,-0.0
6,credit_limit,0.03642351,15.02424,-21.950144,0.0,0.0
6,gender,1.0,30.368067,-19.872475,0.0,0.0
6,yearly_debt_payments,-1.323702,30.368067,-27.820318,0.0,-0.0
6,migrant_worker,0.0,30.368067,-29.31569,0.0,0.0
6,total_family_members,0.9359393,30.368067,-18.245756,0.0,0.0
6,occupation_type,17.0,30.368067,-24.645508,0.0,0.0
6,no_of_days_employed,-0.48311415,30.368067,-23.830051,0.0,-0.0
6,net_yearly_income,-0.07780579,30.368067,-23.44967,0.0,-0.0
6,no_of_children,0.8230859,30.368067,-3.8334465,0.0,0.0
6,owns_house,1.0,30.368067,-15.122408,0.0,0.0
6,owns_car,0.0,30.368067,-20.885479,0.0,0.0
6,credit_score_missing,0.0,30.368067,-16.688412,0.0,0.0
