Feature,Importance
credit_score,0.47315978799406605
credit_limit_used(%),0.2651464298143884
prev_defaults,0.04450835787583863
age,0.041017854031475204
no_of_days_employed,0.03659780742661624
gender,0.03548156786794409
migrant_worker,0.02113337995988565
default_in_last_6months,0.015254607166734293
yearly_debt_payments,0.014942952140839372
credit_limit,0.010343970575248745
total_family_members_missing,0.008923655472598392
no_of_children_missing,0.007166809504195758
total_family_members,0.007163738294506767
owns_car_missing,0.005923711718702421
migrant_worker_missing,0.005275302685512206
no_of_days_employed_missing,0.0027465847845356494
owns_car,0.0016998699454975161
no_of_children,0.0012493136893598556
net_yearly_income,0.0009640172101996892
occupation_type,0.0009502763040469708
credit_score_missing,0.00034985921075835456
owns_house,1.4632704976787433e-07
yearly_debt_payments_missing,0.0
