Feature,Mask_Importance,Model_Importance
credit_score,0.20629044592367432,0.47315978799406605
credit_limit_used(%),0.11867164206811158,0.2651464298143884
prev_defaults,0.10463584079052259,0.04450835787583863
no_of_days_employed,0.09524667089833234,0.03659780742661624
gender,0.07537185464511723,0.03548156786794409
default_in_last_6months,0.07512658234614475,0.015254607166734293
credit_limit,0.05627103634072272,0.010343970575248745
total_family_members_missing,0.046660414257600445,0.008923655472598392
migrant_worker_missing,0.03945253441851138,0.005275302685512206
yearly_debt_payments,0.03666074578444722,0.014942952140839372
no_of_children_missing,0.03274920501867127,0.007166809504195758
owns_car_missing,0.02416854200718195,0.005923711718702421
no_of_children,0.0227092533145086,0.0012493136893598556
age,0.020796815105487875,0.041017854031475204
total_family_members,0.01665164294437657,0.007163738294506767
migrant_worker,0.009725241272391369,0.02113337995988565
no_of_days_employed_missing,0.007986887375679536,0.0027465847845356494
owns_car,0.005431342612589529,0.0016998699454975161
credit_score_missing,0.002767495150857251,0.00034985921075835456
net_yearly_income,0.0015764590399411388,0.0009640172101996892
occupation_type,0.0010493485862910813,0.0009502763040469708
owns_house,0.0,1.4632704976787433e-07
yearly_debt_payments_missing,0.0,0.0
