sample_index,split,logit_class_0,logit_class_1,logit_difference_z1_minus_z0,prob_predict_proba_class_0,prob_predict_proba_class_1,prob_softmax_logits_class_0,prob_softmax_logits_class_1,abs_diff_class_0,abs_diff_class_1,actual_target
0,train,3.9884548,-3.4942667,-7.4827213,0.99943763,0.0005624075,0.99943763,0.0005624075,0.0,0.0,0
1,train,3.5692656,-3.3567467,-6.926012,0.999019,0.0009809457,0.999019,0.0009809457,0.0,0.0,0
2,train,5.0266786,-4.727588,-9.754267,0.99994195,5.8043097e-05,0.99994195,5.8043097e-05,0.0,0.0,0
3,train,6.4087806,-5.6898017,-12.098582,0.9999944,5.5673695e-06,0.9999944,5.5673695e-06,0.0,0.0,0
4,train,4.9702525,-4.092718,-9.062971,0.9998841,0.00011586475,0.9998841,0.00011586474,0.0,7.275958e-12,0
5,train,-4.920675,6.183508,11.104183,1.5049011e-05,0.999985,1.5049011e-05,0.999985,0.0,0.0,1
6,train,10.805914,-10.117487,-20.9234,1.0,8.1862017e-10,1.0,8.1862017e-10,0.0,0.0,0
7,train,7.1726685,-6.271294,-13.443962,0.99999857,1.449976e-06,0.99999857,1.449976e-06,0.0,0.0,0
8,train,13.508614,-12.315015,-25.823627,1.0,6.0945424e-12,1.0,6.094542e-12,0.0,4.3368087e-19,0
9,train,9.797464,-10.211973,-20.009438,1.0,2.041793e-09,1.0,2.0417927e-09,0.0,2.220446e-16,0
10,train,11.813782,-12.464382,-24.278164,1.0,2.8584288e-11,1.0,2.8584288e-11,0.0,0.0,0
11,train,9.320913,-9.933573,-19.254486,1.0,4.3439314e-09,1.0,4.3439314e-09,0.0,0.0,0
12,train,15.436242,-14.100002,-29.536243,1.0,1.4878956e-13,1.0,1.4878956e-13,0.0,0.0,0
13,train,6.734576,-5.94372,-12.678296,0.9999969,3.118061e-06,0.9999969,3.118061e-06,0.0,0.0,0
14,train,-0.7230081,1.2152767,1.9382849,0.1258364,0.8741636,0.1258364,0.87416357,0.0,5.9604645e-08,0
15,train,9.30457,-8.685509,-17.990078,1.0,1.5381843e-08,1.0,1.5381845e-08,0.0,1.7763568e-15,0
16,train,7.4490757,-7.8565617,-15.305637,0.99999976,2.2534402e-07,0.99999976,2.2534401e-07,0.0,1.4210855e-14,0
17,train,6.8367567,-6.304508,-13.141265,0.9999981,1.9625484e-06,0.9999981,1.9625484e-06,0.0,0.0,0
18,train,5.4967017,-4.766374,-10.263076,0.9999651,3.4896962e-05,0.9999651,3.4896962e-05,0.0,0.0,0
19,train,2.5957708,-2.540436,-5.1362066,0.9941544,0.0058455807,0.9941544,0.0058455807,0.0,0.0,0
20,train,1.7825654,-1.4291284,-3.2116938,0.96127194,0.03872803,0.96127194,0.03872803,0.0,0.0,0
21,train,6.4762273,-6.381201,-12.857428,0.9999974,2.6066878e-06,0.9999974,2.6066875e-06,0.0,2.2737368e-13,0
22,train,10.967945,-9.849647,-20.817593,1.0,9.0998536e-10,1.0,9.0998536e-10,0.0,0.0,0
23,train,6.652834,-6.376911,-13.029745,0.99999785,2.194081e-06,0.99999785,2.194081e-06,0.0,0.0,0
24,train,-0.83403164,1.2361361,2.0701678,0.11203034,0.8879696,0.11203034,0.8879696,0.0,0.0,0
25,train,3.7323818,-3.6026587,-7.3350406,0.9993481,0.0006518538,0.9993481,0.0006518522,0.0,1.5716068e-09,0
26,train,14.703237,-13.701591,-28.404827,1.0,4.612542e-13,1.0,4.612542e-13,0.0,0.0,0
27,train,7.2690043,-6.2909803,-13.559984,0.9999987,1.2911394e-06,0.9999987,1.2911395e-06,0.0,1.1368684e-13,0
28,train,7.9365587,-7.542287,-15.478846,0.99999976,1.8950587e-07,0.99999976,1.8950588e-07,0.0,1.4210855e-14,0
29,train,9.305546,-8.027817,-17.333363,1.0,2.9663083e-08,1.0,2.9663083e-08,0.0,0.0,0
30,train,12.5889225,-13.439251,-26.028173,1.0,4.9671573e-12,1.0,4.9671573e-12,0.0,0.0,0
31,train,9.081202,-8.672325,-17.753527,1.0,1.9486835e-08,1.0,1.9486835e-08,0.0,0.0,0
