sample_index,logit_class_0,logit_class_1,logit_difference_z1_minus_z0,prob_predict_proba_class_0,prob_predict_proba_class_1,prob_softmax_logits_class_0,prob_softmax_logits_class_1,abs_diff_class_0,abs_diff_class_1,actual_target
0,3.9884548,-3.4942667,-7.4827213,0.99943763,0.0005624075,0.99943763,0.0005624075,0.0,0.0,0
1,3.5692656,-3.3567467,-6.926012,0.999019,0.0009809457,0.999019,0.0009809457,0.0,0.0,0
2,5.0266786,-4.727588,-9.754267,0.99994195,5.8043097e-05,0.99994195,5.8043097e-05,0.0,0.0,0
3,6.4087806,-5.6898017,-12.098582,0.9999944,5.5673695e-06,0.9999944,5.5673695e-06,0.0,0.0,0
4,4.9702525,-4.092718,-9.062971,0.9998841,0.00011586475,0.9998841,0.00011586474,0.0,7.275958e-12,0
5,-4.920675,6.183508,11.104183,1.5049011e-05,0.999985,1.5049011e-05,0.999985,0.0,0.0,1
6,10.805914,-10.117487,-20.9234,1.0,8.1862017e-10,1.0,8.1862017e-10,0.0,0.0,0
7,7.1726685,-6.271294,-13.443962,0.99999857,1.449976e-06,0.99999857,1.449976e-06,0.0,0.0,0
8,13.508614,-12.315015,-25.823627,1.0,6.0945424e-12,1.0,6.094542e-12,0.0,4.3368087e-19,0
9,9.797464,-10.211973,-20.009438,1.0,2.041793e-09,1.0,2.0417927e-09,0.0,2.220446e-16,0
10,11.813782,-12.464382,-24.278164,1.0,2.8584288e-11,1.0,2.8584288e-11,0.0,0.0,0
11,9.320913,-9.933573,-19.254486,1.0,4.3439314e-09,1.0,4.3439314e-09,0.0,0.0,0
12,15.436242,-14.100002,-29.536243,1.0,1.4878956e-13,1.0,1.4878956e-13,0.0,0.0,0
13,6.734576,-5.94372,-12.678296,0.9999969,3.118061e-06,0.9999969,3.118061e-06,0.0,0.0,0
14,-0.7230081,1.2152767,1.9382849,0.1258364,0.8741636,0.1258364,0.87416357,0.0,5.9604645e-08,0
15,9.30457,-8.685509,-17.990078,1.0,1.5381843e-08,1.0,1.5381845e-08,0.0,1.7763568e-15,0
16,7.4490757,-7.8565617,-15.305637,0.99999976,2.2534402e-07,0.99999976,2.2534401e-07,0.0,1.4210855e-14,0
17,6.8367567,-6.304508,-13.141265,0.9999981,1.9625484e-06,0.9999981,1.9625484e-06,0.0,0.0,0
18,5.4967017,-4.766374,-10.263076,0.9999651,3.4896962e-05,0.9999651,3.4896962e-05,0.0,0.0,0
19,2.5957708,-2.540436,-5.1362066,0.9941544,0.0058455807,0.9941544,0.0058455807,0.0,0.0,0
20,1.7825654,-1.4291284,-3.2116938,0.96127194,0.03872803,0.96127194,0.03872803,0.0,0.0,0
21,6.4762273,-6.381201,-12.857428,0.9999974,2.6066878e-06,0.9999974,2.6066875e-06,0.0,2.2737368e-13,0
22,10.967945,-9.849647,-20.817593,1.0,9.0998536e-10,1.0,9.0998536e-10,0.0,0.0,0
23,6.652834,-6.376911,-13.029745,0.99999785,2.194081e-06,0.99999785,2.194081e-06,0.0,0.0,0
24,-0.83403164,1.2361361,2.0701678,0.11203034,0.8879696,0.11203034,0.8879696,0.0,0.0,0
25,3.7323818,-3.6026587,-7.3350406,0.9993481,0.0006518538,0.9993481,0.0006518522,0.0,1.5716068e-09,0
26,14.703237,-13.701591,-28.404827,1.0,4.612542e-13,1.0,4.612542e-13,0.0,0.0,0
27,7.2690043,-6.2909803,-13.559984,0.9999987,1.2911394e-06,0.9999987,1.2911395e-06,0.0,1.1368684e-13,0
28,7.9365587,-7.542287,-15.478846,0.99999976,1.8950587e-07,0.99999976,1.8950588e-07,0.0,1.4210855e-14,0
29,9.305546,-8.027817,-17.333363,1.0,2.9663083e-08,1.0,2.9663083e-08,0.0,0.0,0
30,12.5889225,-13.439251,-26.028173,1.0,4.9671573e-12,1.0,4.9671573e-12,0.0,0.0,0
31,9.081202,-8.672325,-17.753527,1.0,1.9486835e-08,1.0,1.9486835e-08,0.0,0.0,0
32,10.288941,-9.772023,-20.060965,1.0,1.9392499e-09,1.0,1.9392499e-09,0.0,0.0,0
33,-4.329614,5.209652,9.539267,7.196443e-05,0.999928,7.196443e-05,0.999928,0.0,0.0,1
34,13.46882,-12.597027,-26.065845,1.0,4.783515e-12,1.0,4.783515e-12,0.0,0.0,0
35,9.482025,-9.07756,-18.559586,1.0,8.7031085e-09,1.0,8.7031085e-09,0.0,0.0,0
36,6.615028,-6.2073817,-12.82241,0.99999726,2.6995851e-06,0.99999726,2.6995851e-06,0.0,0.0,0
37,6.1383433,-6.095745,-12.234089,0.9999951,4.8618394e-06,0.9999951,4.861839e-06,0.0,4.5474735e-13,0
38,4.210513,-4.3282475,-8.538761,0.9998043,0.0001956943,0.9998043,0.0001956943,0.0,0.0,0
39,0.15269783,0.07959691,-0.073100924,0.5182671,0.4817329,0.5182671,0.4817329,0.0,0.0,0
40,-4.551586,5.661418,10.213004,3.6688736e-05,0.9999633,3.6688733e-05,0.9999633,3.637979e-12,0.0,1
41,0.104753435,0.10703844,0.0022850037,0.49942875,0.50057125,0.49942878,0.50057125,2.9802322e-08,0.0,0
42,12.878622,-12.386313,-25.264935,1.0,1.0655611e-11,1.0,1.065561e-11,0.0,8.6736174e-19,0
43,2.2998486,-1.9028914,-4.2027397,0.9852658,0.014734206,0.9852658,0.014734206,0.0,0.0,0
44,4.462112,-3.8273802,-8.289492,0.9997489,0.00025107904,0.9997489,0.00025107904,0.0,0.0,0
45,9.631732,-8.838774,-18.470505,1.0,9.513968e-09,1.0,9.513968e-09,0.0,0.0,0
46,13.743931,-12.685113,-26.429043,1.0,3.3266916e-12,1.0,3.3266916e-12,0.0,0.0,0
47,6.354821,-5.776906,-12.131727,0.99999464,5.385865e-06,0.99999464,5.3858653e-06,0.0,4.5474735e-13,0
48,8.685412,-8.208635,-16.894047,1.0,4.6026578e-08,1.0,4.6026578e-08,0.0,0.0,0
49,6.08027,-5.505518,-11.585788,0.9999907,9.297202e-06,0.9999907,9.297202e-06,0.0,0.0,0
50,8.525336,-7.616431,-16.141768,0.9999999,9.766116e-08,0.9999999,9.76606e-08,0.0,5.5422333e-13,0
51,3.709228,-3.53993,-7.249158,0.99928975,0.00071026786,0.99928975,0.0007102678,0.0,5.820766e-11,0
52,7.9673257,-7.3803205,-15.347647,0.99999976,2.1607354e-07,0.99999976,2.1607353e-07,0.0,1.4210855e-14,0
53,7.7198267,-7.4490194,-15.168846,0.99999976,2.5837693e-07,0.99999976,2.5837693e-07,0.0,0.0,0
54,5.094895,-4.8199573,-9.914852,0.9999505,4.9432543e-05,0.9999505,4.9432543e-05,0.0,0.0,0
55,10.492251,-9.811638,-20.30389,1.0,1.5210115e-09,1.0,1.5210114e-09,0.0,1.110223e-16,0
56,9.366668,-9.801874,-19.168541,1.0,4.733784e-09,1.0,4.733784e-09,0.0,0.0,0
57,4.0375915,-3.3993468,-7.4369383,0.9994112,0.0005887392,0.9994112,0.0005887392,0.0,0.0,0
58,5.568003,-4.944997,-10.5130005,0.9999728,2.718004e-05,0.9999728,2.718004e-05,0.0,0.0,0
59,10.279396,-10.048008,-20.327404,1.0,1.485664e-09,1.0,1.4856639e-09,0.0,1.110223e-16,0
60,4.52242,-3.8702164,-8.392636,0.99977356,0.00022647799,0.99977356,0.00022647798,0.0,1.4551915e-11,0
61,10.020225,-9.570689,-19.590914,1.0,3.1029463e-09,1.0,3.1029461e-09,0.0,2.220446e-16,0
62,2.8466709,-2.6672482,-5.513919,0.9959859,0.004014104,0.9959859,0.0040141046,0.0,4.656613e-10,0
63,-4.9233665,7.319478,12.242845,4.8194565e-06,0.99999523,4.8194565e-06,0.99999523,0.0,0.0,1
64,6.028742,-5.5763597,-11.605102,0.99999094,9.119362e-06,0.99999094,9.119362e-06,0.0,0.0,0
65,9.986586,-9.68602,-19.672606,1.0,2.8595388e-09,1.0,2.8595386e-09,0.0,2.220446e-16,0
66,4.059376,-3.7544968,-7.8138723,0.99959606,0.00040392703,0.99959606,0.000403927,0.0,2.910383e-11,0
67,9.669726,-8.896489,-18.566216,1.0,8.645598e-09,1.0,8.645598e-09,0.0,0.0,0
68,7.0713553,-6.7027936,-13.774149,0.9999989,1.0422278e-06,0.9999989,1.0422278e-06,0.0,0.0,0
69,2.9191124,-2.880227,-5.7993393,0.9969796,0.003020405,0.9969796,0.0030204048,0.0,2.3283064e-10,0
70,-0.5215167,0.8650067,1.3865234,0.19996335,0.8000366,0.19996335,0.8000366,0.0,0.0,0
71,8.697029,-7.6475825,-16.344612,0.9999999,7.973061e-08,0.9999999,7.973062e-08,0.0,7.1054274e-15,0
72,-0.7001308,1.1007664,1.8008972,0.14174189,0.8582581,0.14174189,0.8582581,0.0,0.0,0
73,5.9208922,-5.3820963,-11.302988,0.9999877,1.2335857e-05,0.9999877,1.2335856e-05,0.0,9.094947e-13,0
74,4.184451,-4.024864,-8.209315,0.9997279,0.00027203292,0.9997279,0.00027203292,0.0,0.0,0
75,2.50336,-1.9887048,-4.492065,0.98892653,0.011073503,0.98892653,0.011073502,0.0,9.313226e-10,0
76,4.3169646,-3.6190922,-7.936057,0.9996425,0.00035748587,0.9996425,0.00035748584,0.0,2.910383e-11,0
77,7.631257,-6.776631,-14.407888,0.9999994,5.530125e-07,0.9999994,5.530104e-07,0.0,2.1032065e-12,0
78,7.0200458,-6.4358163,-13.455862,0.99999857,1.4328236e-06,0.99999857,1.4328238e-06,0.0,1.1368684e-13,0
79,1.446128,-1.1685307,-2.6146588,0.9317991,0.068200946,0.9317991,0.068200946,0.0,0.0,0
80,14.396464,-13.000272,-27.396736,1.0,1.2640046e-12,1.0,1.2640047e-12,0.0,1.0842022e-19,0
81,1.3808949,-1.0111471,-2.3920422,0.9162185,0.08378154,0.9162185,0.08378154,0.0,0.0,0
82,7.4901714,-6.594032,-14.084204,0.9999993,7.643772e-07,0.9999993,7.6437715e-07,0.0,5.684342e-14,0
83,5.96859,-5.692256,-11.660846,0.9999914,8.624925e-06,0.9999914,8.624925e-06,0.0,0.0,0
84,7.834999,-7.081814,-14.916813,0.99999964,3.3243774e-07,0.99999964,3.3243774e-07,0.0,0.0,0
85,5.043341,-4.7397614,-9.783102,0.9999436,5.63934e-05,0.9999436,5.63934e-05,0.0,0.0,0
86,-3.147149,4.3590145,7.5061636,0.00054938387,0.9994506,0.00054938387,0.9994506,0.0,0.0,1
87,10.717283,-11.060072,-21.777355,1.0,3.4850967e-10,1.0,3.4850964e-10,0.0,2.7755576e-17,0
88,9.769359,-9.475605,-19.244965,1.0,4.3854893e-09,1.0,4.3854893e-09,0.0,0.0,0
89,5.6235566,-4.853272,-10.476829,0.99997187,2.8181164e-05,0.99997187,2.8181166e-05,0.0,1.8189894e-12,0
90,2.6918528,-2.2463262,-4.938179,0.9928833,0.007116629,0.9928833,0.007116629,0.0,0.0,0
91,1.7122781,-1.4136516,-3.1259298,0.95794976,0.04205026,0.95794976,0.04205026,0.0,0.0,0
92,11.163573,-11.786493,-22.950066,1.0,1.078731e-10,1.0,1.078731e-10,0.0,0.0,0
93,10.117072,-10.606161,-20.723232,1.0,1.0000336e-09,1.0,1.0000336e-09,0.0,0.0,0
94,10.830522,-10.55965,-21.390171,1.0,5.132947e-10,1.0,5.132947e-10,0.0,0.0,0
95,9.399477,-8.427969,-17.827446,1.0,1.8098333e-08,1.0,1.8098333e-08,0.0,0.0,0
96,10.858362,-10.670262,-21.528625,1.0,4.4692716e-10,1.0,4.4692716e-10,0.0,0.0,0
97,8.556069,-7.3976827,-15.9537525,0.9999999,1.1786185e-07,0.9999999,1.1786186e-07,0.0,7.1054274e-15,0
98,5.7895184,-5.5676775,-11.357196,0.9999883,1.1684966e-05,0.9999883,1.1684965e-05,0.0,9.094947e-13,0
99,-2.6370769,4.5726843,7.209761,0.00073878746,0.9992612,0.00073878746,0.9992612,0.0,0.0,1
100,11.78223,-10.747154,-22.529385,1.0,1.6429055e-10,1.0,1.6429055e-10,0.0,0.0,0
101,6.0824623,-5.1500916,-11.2325535,0.99998677,1.3236046e-05,0.99998677,1.3236046e-05,0.0,0.0,0
102,1.5384458,-1.1872872,-2.725733,0.9385282,0.06147188,0.9385282,0.06147188,0.0,0.0,0
