Threshold,Recall,Precision,F1-Score,Accuracy
0.100000,0.991870,0.622449,0.764890,0.950582
0.120000,0.991870,0.622449,0.764890,0.950582
0.140000,0.991870,0.622449,0.764890,0.950582
0.160000,0.991870,0.622449,0.764890,0.950582
0.180000,0.991870,0.622449,0.764890,0.950582
0.200000,0.991870,0.622449,0.764890,0.950582
0.220000,0.975610,0.641711,0.774194,0.953877
0.240000,0.962060,0.672348,0.791527,0.958928
0.260000,0.962060,0.672348,0.791527,0.958928
0.280000,0.883469,0.751152,0.811955,0.966835
0.300000,0.883469,0.751152,0.811955,0.966835
0.320000,0.859079,0.767554,0.810742,0.967494
0.340000,0.753388,0.996416,0.858025,0.979794
0.360000,0.753388,0.996416,0.858025,0.979794
0.380000,0.753388,0.996416,0.858025,0.979794
0.400000,0.753388,0.996416,0.858025,0.979794
0.420000,0.753388,0.996416,0.858025,0.979794
0.440000,0.753388,0.996416,0.858025,0.979794
0.460000,0.753388,0.996416,0.858025,0.979794
0.480000,0.753388,0.996416,0.858025,0.979794
0.500000,0.753388,0.996416,0.858025,0.979794
0.520000,0.753388,0.996416,0.858025,0.979794
0.540000,0.753388,0.996416,0.858025,0.979794
0.560000,0.753388,0.996416,0.858025,0.979794
0.580000,0.753388,0.996416,0.858025,0.979794
0.600000,0.753388,0.996416,0.858025,0.979794
0.620000,0.753388,0.996416,0.858025,0.979794
0.640000,0.753388,0.996416,0.858025,0.979794
0.660000,0.753388,0.996416,0.858025,0.979794
0.680000,0.753388,0.996416,0.858025,0.979794
0.700000,0.753388,0.996416,0.858025,0.979794
0.720000,0.753388,0.996416,0.858025,0.979794
0.740000,0.753388,0.996416,0.858025,0.979794
0.760000,0.753388,0.996416,0.858025,0.979794
0.780000,0.753388,0.996416,0.858025,0.979794
0.800000,0.753388,0.996416,0.858025,0.979794
0.820000,0.753388,0.996416,0.858025,0.979794
0.840000,0.753388,0.996416,0.858025,0.979794
0.860000,0.753388,0.996416,0.858025,0.979794
0.880000,0.753388,0.996416,0.858025,0.979794
