Threshold,Recall,Precision,F1-Score,Accuracy
0.100000,1.000000,0.504788,0.670909,0.920492
0.120000,1.000000,0.514644,0.679558,0.923567
0.140000,1.000000,0.519718,0.683967,0.925104
0.160000,1.000000,0.527897,0.691011,0.927520
0.180000,1.000000,0.529412,0.692308,0.927960
0.200000,1.000000,0.532468,0.694915,0.928838
0.220000,1.000000,0.538686,0.700190,0.930595
0.240000,1.000000,0.541056,0.702188,0.931254
0.260000,1.000000,0.543446,0.704198,0.931913
0.280000,1.000000,0.549107,0.708934,0.933450
0.300000,1.000000,0.554054,0.713043,0.934768
0.320000,1.000000,0.555723,0.714424,0.935208
0.340000,1.000000,0.560790,0.718598,0.936525
0.360000,1.000000,0.562500,0.720000,0.936965
0.380000,1.000000,0.565951,0.722821,0.937843
0.400000,1.000000,0.572981,0.728529,0.939600
0.420000,1.000000,0.577465,0.732143,0.940698
0.440000,1.000000,0.579278,0.733598,0.941138
0.460000,1.000000,0.583861,0.737263,0.942236
0.480000,0.997290,0.586922,0.738956,0.942895
0.500000,0.997290,0.590690,0.741935,0.943773
0.520000,0.997290,0.591640,0.742684,0.943993
0.540000,0.997290,0.596434,0.746450,0.945091
0.560000,0.997290,0.601307,0.750255,0.946189
0.580000,0.997290,0.606260,0.754098,0.947288
0.600000,0.997290,0.614357,0.760331,0.949045
0.620000,0.994580,0.619932,0.763788,0.950143
0.640000,0.991870,0.625641,0.767296,0.951241
0.660000,0.983740,0.624785,0.764211,0.950802
0.680000,0.981030,0.637324,0.772679,0.953218
0.700000,0.972900,0.653916,0.782135,0.956073
0.720000,0.967480,0.667290,0.789823,0.958269
0.740000,0.951220,0.677606,0.791432,0.959367
0.760000,0.943089,0.690476,0.797251,0.961125
0.780000,0.929539,0.707216,0.803279,0.963101
0.800000,0.905149,0.724512,0.804819,0.964419
0.820000,0.883469,0.751152,0.811955,0.966835
0.840000,0.856369,0.797980,0.826144,0.970788
0.860000,0.813008,0.854701,0.833333,0.973644
0.880000,0.769648,0.925081,0.840237,0.976279
