age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,owns_car_missing,no_of_children_missing,no_of_days_employed_missing,total_family_members_missing,migrant_worker_missing,yearly_debt_payments_missing,credit_score_missing,actual_target
-0.628845,0.000000,0.000000,1.000000,-0.592032,-0.126188,2.140444,17.000000,-0.173202,0.000000,-0.453668,0.009412,89.000000,0.042874,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.418913,1.000000,0.000000,1.000000,-0.592032,1.092938,-0.487014,17.000000,-0.173202,0.000000,1.172727,0.885059,68.000000,-0.146706,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.838396,0.000000,0.000000,0.000000,-0.592032,-1.139268,-0.473486,2.000000,-0.173202,0.000000,1.023585,-0.963013,53.000000,0.302298,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.418913,0.000000,0.000000,0.000000,0.823086,-0.942179,2.140472,17.000000,0.935939,0.000000,0.676066,-0.163251,90.000000,0.521811,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.733241,0.000000,0.000000,1.000000,2.238204,-0.762679,-0.469291,14.000000,2.045080,0.000000,-0.922937,-0.925109,6.000000,-1.014781,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.628845,1.000000,1.000000,1.000000,-0.592032,0.023646,-0.469694,8.000000,-0.173202,1.000000,1.086262,-0.096228,92.000000,-2.202147,1.000000,1.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,1
0.104586,1.000000,0.000000,0.000000,-0.592032,-0.918399,-0.471953,8.000000,-1.282343,1.000000,-0.163564,-0.599109,65.000000,1.459731,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.419293,1.000000,1.000000,0.000000,2.238204,-0.496298,-0.465318,4.000000,2.045080,0.000000,0.692629,-0.944595,14.000000,-0.126750,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.047568,1.000000,1.000000,0.000000,-0.592032,0.503939,-0.485316,8.000000,-0.173202,0.000000,0.572845,1.040318,96.000000,1.130462,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.524069,0.000000,0.000000,1.000000,-0.592032,-0.772277,-0.477832,14.000000,-1.282343,0.000000,-0.528998,-0.812743,54.000000,0.771258,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.209362,0.000000,0.000000,1.000000,0.823086,0.094689,-0.439132,11.000000,-0.173202,0.000000,0.520880,-0.318456,83.000000,1.549532,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.000190,0.000000,0.000000,1.000000,-0.025985,2.143541,-0.476285,14.000000,-1.282343,0.000000,0.565304,0.233829,52.000000,1.190329,0.000000,0.000000,-0.109174,7.662127,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.152344,1.000000,0.000000,1.000000,-0.592032,-0.488041,-0.486597,17.000000,-0.173202,0.000000,-1.236506,-0.167723,9.000000,1.529576,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.314517,0.000000,0.000000,0.000000,2.238204,-1.003731,-0.465081,8.000000,2.045080,1.000000,-0.592970,-1.075352,9.000000,-0.515887,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.419293,1.000000,0.000000,1.000000,2.238204,0.767610,-0.465059,4.000000,2.045080,1.000000,-0.389903,-0.348887,87.000000,-1.084626,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.628845,1.000000,1.000000,1.000000,-0.592032,-0.579404,-0.456381,4.000000,-0.173202,0.000000,0.428889,-1.027035,66.000000,1.110506,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.047568,0.000000,0.000000,1.000000,0.823086,0.251869,-0.468197,14.000000,0.935939,1.000000,0.246470,0.267007,67.000000,0.861059,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.314138,0.000000,0.000000,1.000000,0.823086,1.545550,-0.473644,14.000000,0.935939,0.000000,-0.685267,0.644933,30.000000,0.342210,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.466671,1.000000,1.000000,1.000000,-0.592032,-0.272444,-0.480387,4.000000,-0.173202,0.000000,-0.568101,-0.133828,80.000000,0.262387,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.524069,0.000000,0.000000,1.000000,0.823086,-1.015615,-0.479401,17.000000,0.935939,1.000000,-0.892929,-0.903990,72.000000,-0.166662,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.152724,0.000000,0.000000,1.000000,0.823086,-0.745394,-0.472550,14.000000,0.935939,0.000000,1.368746,-0.943849,61.000000,-1.154471,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.152344,1.000000,0.000000,0.000000,-0.592032,-0.677307,2.140494,17.000000,-0.173202,0.000000,-1.208755,-1.047599,45.000000,-1.134515,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.418913,1.000000,1.000000,1.000000,-0.592032,0.480299,-0.481322,17.000000,-0.173202,0.000000,1.064571,1.554898,46.000000,0.651524,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.257120,0.000000,0.000000,1.000000,-0.592032,0.665941,-0.450739,10.000000,-0.173202,0.000000,-0.290119,1.048604,35.000000,-0.116772,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.676603,1.000000,0.000000,1.000000,-0.592032,2.031286,-0.480531,16.000000,-0.173202,0.000000,0.100462,0.341766,76.000000,-1.284183,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.000190,0.000000,0.000000,0.000000,0.823086,-0.368933,-0.463253,14.000000,0.935939,1.000000,-0.486150,0.375509,92.000000,-0.126750,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.104586,1.000000,0.000000,1.000000,0.823086,-0.510591,-0.451099,17.000000,0.935939,0.000000,-1.269483,0.279841,32.000000,1.359953,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.104966,1.000000,1.000000,1.000000,-0.592032,-0.387984,-0.465275,16.000000,-0.173202,0.000000,1.473282,-0.906117,13.000000,-0.106794,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.523689,0.000000,0.000000,1.000000,-0.592032,-0.959981,2.140451,17.000000,-1.282343,0.000000,-0.017933,-0.763648,40.000000,0.422033,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.152344,1.000000,0.000000,1.000000,-0.592032,0.691652,-0.477688,10.000000,-1.282343,0.000000,3.267383,0.438277,53.000000,1.030683,0.000000,0.000000,9.159681,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.733620,0.000000,0.000000,0.000000,-0.592032,-0.528626,-0.472594,8.000000,-0.173202,1.000000,-0.227810,-0.995747,67.000000,1.429798,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.257499,0.000000,0.000000,1.000000,-0.592032,-0.510114,-0.474608,17.000000,-1.282343,1.000000,-0.379516,-0.462661,38.000000,0.731347,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.942792,0.000000,0.000000,1.000000,-0.592032,-0.386165,-0.486964,14.000000,-1.282343,1.000000,0.111579,-0.657199,33.000000,1.270152,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.523689,1.000000,0.000000,1.000000,-0.592032,-1.223128,2.140494,17.000000,-0.173202,0.000000,-0.910527,-1.156009,75.000000,-2.152258,1.000000,1.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,1
-1.152724,1.000000,1.000000,1.000000,-0.592032,1.586224,-0.481855,4.000000,-0.173202,0.000000,1.619749,-0.150811,37.000000,1.140440,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
1.152344,1.000000,1.000000,0.000000,-0.592032,0.898451,-0.468924,8.000000,-0.173202,0.000000,-1.252305,0.636288,38.000000,-0.575754,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.467051,0.000000,0.000000,1.000000,0.257039,-0.464741,-0.466196,3.000000,0.935939,0.000000,1.077539,-0.384517,53.000000,0.282343,0.000000,0.000000,-0.109174,7.662127,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.676603,1.000000,0.000000,0.000000,-0.592032,-0.978618,0.566441,9.000000,-1.282343,0.000000,-1.459759,-1.102074,46.000000,-0.944936,0.000000,0.000000,-0.109174,-0.130512,9.939130,0.000000,0.000000,0.000000,0.000000,0
-1.571827,0.000000,0.000000,0.000000,0.823086,-0.699353,-0.483855,17.000000,0.935939,1.000000,0.528524,-0.566943,86.000000,0.172586,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.000190,0.000000,0.000000,1.000000,-0.592032,-1.103388,2.140480,17.000000,-1.282343,0.000000,-0.712306,-0.803106,92.000000,-0.805245,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.257499,1.000000,0.000000,0.000000,0.823086,0.453678,-0.463088,3.000000,-0.173202,1.000000,0.591017,-0.549003,74.000000,-2.311904,1.000000,1.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,1
-0.000190,0.000000,0.000000,0.000000,0.823086,-0.485501,2.140451,17.000000,0.935939,0.000000,0.745774,-0.886334,89.000000,-0.815223,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.000190,0.000000,0.000000,1.000000,-0.592032,-0.604255,2.140415,17.000000,-0.173202,0.000000,-0.737167,0.438783,48.000000,1.140440,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.104586,0.000000,1.000000,1.000000,0.823086,-0.462849,-0.459144,15.000000,-0.173202,0.000000,-0.899487,-0.819887,75.000000,-0.386175,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.314517,0.000000,0.000000,1.000000,-0.592032,-0.441518,-0.480437,1.000000,-0.173202,0.000000,1.321219,-0.255025,22.000000,-0.695489,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-1.047948,1.000000,1.000000,1.000000,0.823086,3.858207,-0.437592,10.000000,0.935939,0.000000,0.423485,1.423190,56.000000,1.070594,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.314138,1.000000,1.000000,1.000000,0.823086,-0.245372,-0.482459,8.000000,0.935939,0.000000,-0.133143,-0.581990,17.000000,1.070594,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
-0.314517,0.000000,0.000000,1.000000,0.823086,0.352349,-0.461217,3.000000,0.935939,0.000000,-0.040396,0.998852,46.000000,-1.284183,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
0.838017,0.000000,0.000000,1.000000,-0.592032,-0.629032,-0.483747,17.000000,-0.173202,0.000000,-0.527363,-0.614534,36.000000,0.980794,0.000000,0.000000,-0.109174,-0.130512,-0.100612,0.000000,0.000000,0.000000,0.000000,0
