age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,owns_car_missing,no_of_children_missing,no_of_days_employed_missing,total_family_members_missing,migrant_worker_missing,yearly_debt_payments_missing,credit_score_missing,actual_target
33.000000,0.000000,0.000000,1.000000,0.000000,182739.453125,365244.000000,17.000000,2.000000,0.000000,24267.339844,42642.468750,89.000000,787.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
43.000000,1.000000,0.000000,1.000000,0.000000,303649.250000,116.000000,17.000000,2.000000,0.000000,50540.300781,65526.871094,68.000000,768.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
31.000000,0.000000,0.000000,0.000000,0.000000,82264.796875,1996.000000,2.000000,2.000000,0.000000,48131.039062,17228.839844,53.000000,813.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
43.000000,0.000000,0.000000,0.000000,1.000000,101811.531250,365248.000000,17.000000,3.000000,0.000000,42517.179688,38130.050781,90.000000,835.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
46.000000,0.000000,0.000000,1.000000,2.000000,119613.929688,2579.000000,14.000000,4.000000,0.000000,16686.720703,18219.429688,6.000000,681.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
33.000000,1.000000,1.000000,1.000000,0.000000,197599.593750,2523.000000,8.000000,2.000000,1.000000,49143.531250,39881.648438,92.000000,562.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
40.000000,1.000000,0.000000,0.000000,0.000000,104169.968750,2209.000000,8.000000,1.000000,1.000000,28953.710938,26739.199219,65.000000,929.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
35.000000,1.000000,1.000000,0.000000,2.000000,146032.906250,3131.000000,4.000000,4.000000,0.000000,42784.750000,17710.189453,14.000000,770.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
49.000000,1.000000,1.000000,0.000000,0.000000,245233.796875,352.000000,8.000000,2.000000,0.000000,40849.750000,69584.460938,96.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
34.000000,0.000000,0.000000,1.000000,0.000000,118661.953125,1392.000000,14.000000,1.000000,0.000000,23050.460938,21156.039062,54.000000,860.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
41.000000,0.000000,0.000000,1.000000,1.000000,204645.453125,6770.000000,11.000000,2.000000,0.000000,40010.300781,34073.871094,83.000000,938.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
39.000000,0.000000,0.000000,1.000000,0.400000,407845.312500,1607.000000,14.000000,1.000000,0.000000,40727.921875,48507.429688,52.000000,902.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
